iter	MultiClass
0	1.59976272
1	1.589643789
2	1.582199311
3	1.572698947
4	1.562413632
5	1.553408008
6	1.545557902
7	1.536259832
8	1.528692672
9	1.519863494
10	1.512150614
11	1.505297652
12	1.497568759
13	1.490357672
14	1.482585154
15	1.475754582
16	1.468667071
17	1.462019983
18	1.454350892
19	1.44593895
20	1.43838012
21	1.431530509
22	1.424285401
23	1.417641589
24	1.410929822
25	1.403457031
26	1.39772258
27	1.392070522
28	1.385508483
29	1.379311257
30	1.372839497
31	1.366606862
32	1.359893672
33	1.354791112
34	1.349699775
35	1.343458523
36	1.337505182
37	1.331561432
38	1.325209161
39	1.319688938
40	1.314035412
41	1.308409771
42	1.303525267
43	1.298208996
44	1.294143233
45	1.288853298
46	1.283470382
47	1.278003182
48	1.273674608
49	1.268332277
50	1.263706014
51	1.258744296
52	1.253957912
53	1.24911792
54	1.244642865
55	1.23996381
56	1.234699049
57	1.229894357
58	1.224904048
59	1.220707916
60	1.21626733
61	1.21149322
62	1.207237797
63	1.203633761
64	1.199866387
65	1.195534845
66	1.191531456
67	1.187291144
68	1.182773716
69	1.178892984
70	1.175189969
71	1.171640173
72	1.167887221
73	1.16387928
74	1.16009085
75	1.15655441
76	1.153373839
77	1.149651269
78	1.146846069
79	1.142861483
80	1.139527973
81	1.13593517
82	1.132162993
83	1.12845667
84	1.125068895
85	1.121448402
86	1.117810916
87	1.114427037
88	1.111519808
89	1.1082782
90	1.105010817
91	1.101608549
92	1.098426804
93	1.095709239
94	1.09274103
95	1.089472017
96	1.086302945
97	1.083437498
98	1.080141386
99	1.077320772
