iter	Passed	Remaining
0	7	773
1	12	620
2	17	581
3	24	581
4	28	550
5	35	554
6	40	536
7	44	515
8	51	516
9	56	506
10	61	496
11	66	489
12	73	491
13	79	487
14	85	485
15	90	476
16	98	479
17	103	473
18	108	464
19	115	463
20	121	457
21	128	454
22	136	455
23	142	451
24	150	450
25	156	444
26	162	439
27	168	433
28	176	431
29	181	424
30	184	411
31	189	403
32	194	395
33	200	389
34	206	382
35	211	375
36	216	369
37	223	364
38	230	360
39	237	356
40	243	350
41	249	344
42	256	340
43	262	334
44	269	329
45	276	324
46	283	319
47	288	312
48	295	307
49	301	301
50	307	295
51	313	289
52	318	282
53	323	275
54	328	269
55	333	262
56	338	255
57	344	249
58	350	243
59	355	236
60	359	229
61	362	222
62	368	216
63	373	209
64	377	203
65	383	197
66	388	191
67	392	184
68	397	178
69	401	172
70	406	165
71	410	159
72	414	153
73	419	147
74	423	141
75	429	135
76	433	129
77	437	123
78	441	117
79	447	111
80	452	106
81	456	100
82	461	94
83	465	88
84	470	83
85	475	77
86	479	71
87	485	66
88	492	60
89	497	55
90	503	49
91	509	44
92	514	38
93	520	33
94	526	27
95	531	22
96	536	16
97	542	11
98	547	5
99	553	0
